date,portfolio_ret,benchmark_ret,sp500_ret,portfolio_cum,benchmark_cum,sp500_cum,drawdown,portfolio_local_gross_ret,portfolio_fx_effect,portfolio_usd_gross_ret,benchmark_local_ret,benchmark_fx_effect,benchmark_usd_gross_ret,active_local_gross_ret,active_fx_effect,active_usd_gross_ret
2025-09-29,0.0074524077608052845,0.0028131242005657187,0.002635579571624191,4.919485951982284,3.4766863223672515,2.4916157025566212,-0.00944752380991476,0.0068895261,0.0005628816,0.0074524078,0.002458633,0.0003544912,0.0028131242,0.0044308931,0.0002083904,0.0046392836
2025-09-30,0.005682640969063237,0.004458240129721897,0.004090848359382226,4.94744162439975,3.492186224848085,2.501808524565636,-0.0038185697267099084,0.0054311868,0.0003116983,0.0057428852,0.0043079049,0.0001503352,0.0044582401,0.0011232819,0.0001613631,0.001284645
2025-10-01,0.013473283475723904,0.0069295422204237195,0.003399885773406774,5.014099907884884,3.5163854767347513,2.5103143877760945,0.0,0.0131627311,0.0003105523,0.0134732835,0.0068025347,0.0001270075,0.0069295422,0.0063601964,0.0001835448,0.0065437413
2025-10-02,0.004355333121257363,0.0015512308425479405,0.0006183692931220897,5.035937983286988,3.52184020234055,2.5118666891095778,0.0,0.0045920109,-0.0002366778,0.0043553331,0.0017658148,-0.000214584,0.0015512308,0.0028261961,-2.20938e-05,0.0028041023
2025-10-03,-0.002387553498560427,2.0138595914330742e-05,6.552152903416264e-05,5.023914411936458,3.5219111272572605,2.512031270455778,-0.0023875534985604574,-0.0025373547,0.0001498012,-0.0023875535,-0.0002078163,0.0002279549,2.01386e-05,-0.0023295384,-7.81537e-05,-0.0024076921
2025-10-06,0.00916893644821993,0.006214153517585938,0.003646629808257806,5.069978363900799,3.543796823677331,2.521191718565898,0.0,0.0104893869,-0.0013204504,0.0091689364,0.0067230835,-0.0005089299,0.0062141535,0.0037663034,-0.0008115205,0.0029547829
2025-10-07,-0.009153450576671818,-0.005460175777267117,-0.003811414362608012,5.023570567522038,3.5244470701011323,2.5115824122388672,-0.009153450576671829,-0.008133184,-0.0010202665,-0.0091534506,-0.004819009,-0.0006411667,-0.0054601758,-0.003314175,-0.0003790998,-0.0036932748
2025-10-08,0.008674020896114756,0.007574861469745276,0.005827608238179849,5.067145123597831,3.551144268414598,2.5262189305952982,-0.0005588269021307157,0.0092181164,-0.0005440955,0.0086740209,0.0079382612,-0.0003633998,0.0075748615,0.0012798552,-0.0001806958,0.0010991594
2025-10-09,-0.002592493323329184,-0.002449753561171218,-0.002755518440207827,5.054008583696563,3.5424448400968167,2.519257887748041,-0.0031498714704473185,-0.0019097706,-0.0006827227,-0.0025924933,-0.001811489,-0.0006382646,-0.0024497536,-9.82817e-05,-4.44581e-05,-0.0001427398
2025-10-10,-0.027991270509455716,-0.026479100459542486,-0.02711165816148509,4.912540462273201,3.448644087303505,2.450956629074791,-0.03105297307550381,-0.0290634265,0.001072156,-0.0279912705,-0.0270681228,0.0005890224,-0.0264791005,-0.0019953037,0.0004831336,-0.00151217
2025-10-13,0.017915357068646928,0.017485876851070115,0.01559860267286894,5.0005503787690015,3.5089466531172655,2.489188127700163,-0.013693941107547514,0.0187182544,-0.0008028973,0.0179153571,0.0180231124,-0.0005372356,0.0174858769,0.0006951419,-0.0002656617,0.0004294802
2025-10-14,-0.008820084102096717,-0.004820810810171949,-0.001564303231390674,4.956445103871488,3.4920306851596012,2.485294282668462,-0.02239324349738636,-0.0092026538,0.0003825697,-0.0088200841,-0.0050929024,0.0002720916,-0.0048208108,-0.0041097514,0.0001104781,-0.0039992733
2025-10-15,0.009771576517314588,0.008560102864145058,0.004026001195007511,5.004877386457837,3.5219228270293184,2.4953000804204306,-0.012840484272377495,0.0090580417,0.0007135349,0.0097715765,0.0079838303,0.0005762726,0.0085601029,0.0010742114,0.0001372623,0.0012114737
2025-10-16,0.001310586875544962,-0.002857076275047245,-0.006294352022017558,5.01143671307424,3.5118604248776655,2.4795937833136956,-0.011546725966995575,0.00072698,0.0005836069,0.0013105869,-0.0033228772,0.0004658009,-0.0028570763,0.0040498572,0.000117806,0.0041676632
2025-10-17,-0.0027886371567329734,0.002027576668344545,0.005270724249404557,4.9974616344475455,3.51898099113763,2.49266303839608,-0.014303163494658322,-0.0024973995,-0.0002912377,-0.0027886372,0.0022884721,-0.0002608955,0.0020275767,-0.0047858716,-3.03422e-05,-0.0048162138
2025-10-20,0.012595341966164107,0.011130164670229804,0.01067225289277784,5.060406372696198,3.5581478290404003,2.519265368718323,-0.0018879747639074518,0.0127302561,-0.0001349141,0.012595342,0.0112247395,-9.45749e-05,0.0111301647,0.0015055166,-4.03393e-05,0.0014651773
2025-10-21,-0.004547496920701237,-0.0021895122034260137,3.266455138950519e-05,5.0373941902988655,3.550357220947123,2.519347659391423,-0.006426886125183273,-0.0037026203,-0.0008448767,-0.0045474969,-0.0015874372,-0.000602075,-0.0021895122,-0.002115183,-0.0002428017,-0.0023579847
2025-10-22,-0.006877724771515939,-0.005889784981820917,-0.005337510300132964,5.002748379492356,3.529446380307089,2.5059006153098053,-0.013260408542792423,-0.006918182,4.04573e-05,-0.0068777248,-0.0059414568,5.16718e-05,-0.005889785,-0.0009767253,-1.12145e-05,-0.0009879398
2025-10-23,0.007699358986665014,0.005763112658418928,0.005827387527241212,5.041266335186024,3.549786977418648,2.520503469299968,-0.0056631462018083,0.0079304981,-0.0002311391,0.007699359,0.00587132,-0.0001082074,0.0057631127,0.0020591781,-0.0001229317,0.0019362463
2025-10-24,0.009030581325817778,0.008766962451615712,0.007902422519158847,5.086791900811029,3.580907826560912,2.540421552675382,0.0,0.0091165059,-8.59245e-05,0.0090305813,0.0087962508,-2.92883e-05,0.0087669625,0.0003202551,-5.66362e-05,0.0002636189
2025-10-27,0.013317397536433004,0.013843787191122225,0.01229001912631467,5.154534730739237,3.630481152462845,2.5716433821466644,0.0,0.013159245,0.0001581525,0.0133173975,0.0136514774,0.0001923098,0.0138437872,-0.0004922324,-3.41572e-05,-0.0005263897
2025-10-28,0.0033873184063371777,0.003574338497339192,0.002287946753239289,5.171994781108774,3.6434577210099577,2.5775271652733363,0.0,0.0031033672,0.0002839512,0.0033873184,0.003506326,6.80125e-05,0.0035743385,-0.0004029588,0.0002159387,-0.0001870201
2025-10-29,0.020013647481506514,0.003757317043466056,-4.353574066628951e-05,5.275505261434076,3.657147346802257,2.5774149507191084,0.0,0.0207103061,-0.0006404361,0.02006987,0.0042461243,-0.0004888072,0.003757317,0.0164641818,-0.0001516289,0.016312553
2025-10-30,-0.009139633433173148,-0.010563455357361959,-0.009904812214919234,5.227289077169792,3.6185152340690165,2.5518861396323103,-0.009139633433173144,-0.0082751409,-0.0008644925,-0.0091396334,-0.0100174812,-0.0005459742,-0.0105634554,0.0017423403,-0.0003185183,0.0014238219
2025-10-31,0.004045632054074251,0.0020315889178822684,0.002617870114945742,5.248436765416303,3.6258665695177394,2.5585666460939978,-0.005130976973078627,0.0041599654,-0.0001143333,0.0040456321,0.002210876,-0.000179287,0.0020315889,0.0019490894,6.49537e-05,0.0020140431
2025-11-03,0.007030009046765846,0.0034513144745804297,0.001720709920762564,5.285333323358558,3.6383805752920133,2.562969197104864,0.0,0.0072674985,-0.0002374895,0.007030009,0.0036613593,-0.0002100449,0.0034513145,0.0036061392,-2.74446e-05,0.0035786946
2025-11-04,-0.021135684671435184,-0.014461002621715093,-0.01173677059298273,5.173624184852623,3.585765944253918,2.532888215601563,-0.02113568467143523,-0.0209570686,-0.0001786161,-0.0211356847,-0.0140250577,-0.0004359449,-0.0144610026,-0.0069320109,0.0002573288,-0.006674682
2025-11-05,0.00411602403149273,0.002574734534321355,0.003653520981163894,5.194918946327389,3.5949983396625824,2.542142175840206,-0.017106655625972023,0.0042104881,-9.4464e-05,0.004116024,0.0025364341,3.83005e-05,0.0025747345,0.001674054,-0.0001327645,0.0015412895
2025-11-06,-0.011558480887375652,-0.010838254803524126,-0.01117815749475082,5.134873574974798,3.5560348316390735,2.5137257102246156,-0.028467409561247936,-0.0123457056,0.0007872247,-0.0115584809,-0.011396625,0.0005583702,-0.0108382548,-0.0009490806,0.0002288545,-0.0007202261
2025-11-07,-0.004270980655594245,-0.0021199433414920655,0.001261844674063317,5.112942629267159,3.5484962392756265,2.5168976416241184,-0.03261680646129128,-0.0042089637,-6.20169e-05,-0.0042709807,-0.0021459674,2.6024e-05,-0.0021199433,-0.0020629964,-8.80409e-05,-0.0021510373
2025-11-10,0.025135509168178003,0.01820085788864153,0.01540096302461058,5.241459045601471,3.613081915045061,2.5556602891395013,-0.00830113733095783,0.0254289576,-0.0002934485,0.0251355092,0.0182768604,-7.60025e-05,0.0182008579,0.0071520972,-0.0002174459,0.0069346513
2025-11-11,-0.0003357373436828903,0.0018740809524800508,0.002075396308487409,5.239699292064478,3.6198531230417967,2.5609642970693294,-0.008634087672843682,-0.0004570289,0.0001212916,-0.0003357373,0.0017372085,0.0001368724,0.001874081,-0.0021942375,-1.55808e-05,-0.0022098183
2025-11-12,-0.0009846007623916897,0.0006941328200468185,0.0006295086181336007,5.234540280146808,3.6223657818982486,2.562576446165067,-0.009610187305930218,-0.0007701291,-0.0002144717,-0.0009846008,0.0007582596,-6.41268e-05,0.0006941328,-0.0015283887,-0.0001503449,-0.0016787336
