date,hist_rows,hist_has_nan,v_base,v_rmt,realized,n_replaced,replaced_share,lambda_plus,sigma_bar_sq,q,floor_ref,floor_share,exq_base,exq_rmt
2022-06-13,126,True,3.4168594862009734e-06,2.8605185032438793e-06,3.318962103186373e-06,196,0.98,0.003423213097425047,0.0006702897400431688,1.5873015873015872,4.521625681734817e-08,8.426860177162283e-06,0.0004184601237047225,0.011616698342134635
2022-07-12,126,True,3.4854447808933076e-06,3.3394443792688668e-06,2.8124976658790123e-06,195,0.975,0.0036944561661342423,0.0007234010833452721,1.5873015873015872,5.011626245069321e-08,1.0466723956417504e-05,0.021449199250201056,0.013936775247650246
2022-08-10,126,True,4.476115964239081e-06,4.441967907158515e-06,1.6978054077473436e-06,195,0.975,0.0036065831327786054,0.0007061949115387142,1.5873015873015872,5.193253537644721e-08,7.840163031132273e-06,0.34872248444021414,0.3439802173808344
2022-09-08,126,True,3.578096945022887e-06,3.3849166738057225e-06,3.7008971606749907e-06,196,0.98,0.003159312226933245,0.0006186160519481527,1.5873015873015872,4.443746897603368e-08,6.60535537127961e-06,0.0005757933727794651,0.004103585038155
2022-10-07,126,True,3.404813068642598e-06,3.013821297384155e-06,3.7931369265659557e-06,196,0.98,0.003225316575007141,0.0006315401779236725,1.5873015873015872,4.688728178853447e-08,6.684630257931449e-06,0.0060481243555130515,0.02859601581189719
2022-11-07,126,True,2.871218992521749e-06,2.3114133399762993e-06,5.46239761975948e-06,196,0.98,0.003110443837846532,0.0006090472699632098,1.5873015873015872,4.7351348580479716e-08,8.382118682219878e-06,0.2593152436743904,0.5031997423339074
2022-12-06,126,True,2.868508852222573e-06,1.929597037275559e-06,3.594870776420959e-06,196,0.98,0.003045474238803091,0.0005963257552885042,1.5873015873015872,4.7344749972430875e-08,7.592665359948802e-06,0.02750362794274208,0.24081946954355282
2023-01-04,126,True,3.0719224523431795e-06,1.9423051006038454e-06,2.3685117498436503e-06,197,0.985,0.0027331739416846914,0.0005351751114304411,1.5873015873015872,4.077515380726862e-08,4.400958432478303e-06,0.031061149042331593,0.021047078807908015
2023-02-02,126,True,4.130272248220772e-06,2.5900348193807354e-06,5.300153927103347e-06,196,0.98,0.0026176787636590826,0.0005125603250727771,1.5873015873015872,3.819099953105119e-08,4.560531091623398e-06,0.03385311904845523,0.330299423197985
2023-03-03,126,True,5.1455804136030785e-06,3.1906199549827888e-06,3.0685685063293125e-06,196,0.98,0.0026166641296440584,0.0005123616524366268,1.5873015873015872,3.837139243362319e-08,4.482407707648244e-06,0.11327732197881257,0.000750864939803364
