,spearman_ic
2020-10-22,-0.2676864256026087
2020-10-23,-0.1892905943253545
2020-10-26,-0.14069902906732765
2020-10-27,-0.14662912682684248
2020-10-28,-0.1489541162111757
2020-10-29,-0.2057386466890715
2020-10-30,-0.16702141216713529
2020-11-02,-0.15318655417932678
2020-11-03,-0.1460323489997644
2020-11-04,-0.14852435470430378
2020-11-05,-0.11493472489113576
2020-11-06,-0.11660386970100092
2020-11-09,-0.0595209503095661
2020-11-10,-0.02610648395417525
2020-11-11,-0.04401909463148822
2020-11-12,-0.023206250987618776
2020-11-13,-0.14528143692498935
2020-11-16,-0.09112129770586012
2020-11-17,-0.1001754831337572
2020-11-18,-0.03829825729078317
2020-11-19,-0.06333449041921076
2020-11-20,0.06663497573827659
2020-11-23,0.0013544108220788563
2020-11-24,-0.05541984311906273
2020-11-25,-0.019616553132109027
2020-11-27,-0.090788295947349
2020-11-30,-0.22500735335335895
2020-12-01,-0.15040172084484837
2020-12-02,0.029667707127536327
2020-12-03,0.031061833755676144
2020-12-04,-0.1714836853852066
2020-12-07,-0.1675711693112014
2020-12-08,-0.24283873192072794
2020-12-09,-0.08616191371824806
2020-12-10,-0.06034562142462319
2020-12-11,-0.0446446394285241
2020-12-14,0.029430430645172135
2020-12-15,0.022981194753273343
2020-12-16,0.03560471095664891
2020-12-17,0.08735338790007684
2020-12-18,0.058764117660195785
2020-12-21,-0.030573023834925876
2020-12-22,-0.004462427234849284
2020-12-23,0.04337067857256872
2020-12-24,0.025282674796805835
2020-12-28,0.060227492360441885
2020-12-29,0.04385745178531586
2020-12-30,0.1480177541271893
2020-12-31,0.06766860504986308
2021-01-04,0.30357234621994666
2021-01-05,0.2584775943227317
2021-01-06,0.3324986916343451
2021-01-07,0.2352917104151442
2021-01-08,0.2609420110065143
2021-01-11,0.15575826289307002
2021-01-12,0.1885492617434002
2021-01-13,0.19138945105375954
2021-01-14,0.19575615301246194
2021-01-15,0.12281756600451005
2021-01-19,0.10175596854418305
2021-01-20,0.07976563223443056
2021-01-21,0.04645629119730476
2021-01-22,-0.04443282179619898
2021-01-25,-0.09948605747469902
2021-01-26,0.0075164708855368694
2021-01-27,-0.03314131262686789
